"Timestamp","I understand that I can withdraw from the experiment at any time","I have read through the information above and agree to take part in this evaluation.","What was your chosen topic for the first set of user-generated limericks?","Please copy and paste the limerick generated by Method A","The limerick generated by Method A is in coherent English","The limerick generated by Method A is relevant to the given topic","The limerick generated by Method A is humorous or entertaining","The limerick generated by Method A fits the format of a limerick (A 5-line poem with an AABBA rhyming scheme)","Describe the limerick generated by Method A in one word","Please copy and paste the limerick generated by Method B","The limerick generated by Method B is in coherent English","The limerick generated by Method B is relevant to the given topic","The limerick generated by Method B is humorous or entertaining","The limerick generated by Method B fits the format of a limerick (A 5-line poem with an AABBA rhyming scheme)","Describe the limerick generated by Method B in one word","Which method produced the most coherent limerick?","Which method produced the limerick most relevant to the given topic?","Which method produced the most humorous or entertaining limerick?","Which method produced the limerick that fits the format of a limerick the best?","Which method produced the limerick that you preferred more?","The limerick generated by Method A is in coherent English","The limerick generated by Method A is relevant to the given topic","The limerick generated by Method A is humorous or entertaining","The limerick generated by Method A fits the format of a limerick (A 5-line poem with an AABBA rhyming scheme)","Describe the limerick generated by Method A in one word","The limerick generated by Method B is in coherent English","The limerick generated by Method B is relevant to the given topic","The limerick generated by Method B is humorous or entertaining","The limerick generated by Method B fits the format of a limerick (A 5-line poem with an AABBA rhyming scheme)","Describe the limerick generated by Method B in one word","Which method produced the most coherent limerick?","Which method produced the limerick most relevant to the given topic?","Which method produced the most humorous or entertaining limerick?","Which method produced the limerick that fits the format of a limerick the best?","Which method produced the limerick that you preferred more?","The limerick generated by Method A is in coherent English","The limerick generated by Method A is relevant to the given topic","The limerick generated by Method A is humorous or entertaining","The limerick generated by Method A fits the format of a limerick (A 5-line poem with an AABBA rhyming scheme)","Describe the limerick generated by Method A in one word","The limerick generated by Method B is in coherent English","The limerick generated by Method B is relevant to the given topic","The limerick generated by Method B is humorous or entertaining","The limerick generated by Method B fits the format of a limerick (A 5-line poem with an AABBA rhyming scheme)","Describe the limerick generated by Method B in one word","Which method produced the most coherent limerick?","Which method produced the limerick most relevant to the given topic?","Which method produced the most humorous or entertaining limerick?","Which method produced the limerick that fits the format of a limerick the best?","Which method produced the limerick that you preferred more?","Do you have any final thoughts or comments that you would like to make?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/02/21 7:20:45 pm GMT","Yes","Yes","Gym","A gymnasium
The term gym refers to a stadium
A gymnasium is often
In Western countries the is is written
The term is a for the medium","4","2","3","1","Strange","The following table shows the training
James is the head of the planning
(1) You will only
 James  he was up suddenly
 James  he he keep running","2","5","2","2","Irrelevant ","Method B","Method A","Method B","Method A","Method B","4","2","1","2","Interesting ","2","5","3","1","","Method B","Method A","Method A","Method B","Method A","3","1","3","3","Confusing","4","5","4","2","Disappointing ","Method B","Method A","Method A","Method B","Method A","","2","2","1","Erdogan","4","Method B","1","Method B","Method A","1","3","4","Method A","2","Weird","1","Method A","Method A","ome of these forms of feminism
The main focus is to on terrorism
Since the 21st century extremist
Radical feminists are not a rocket scientist
They have never been accused of racism","Method B","take action to end violence against
Feminism is also and ically influenced
 As the name implies
Feminism is a for of supplies
Feminism is a to be glanced","Controversial ","4","Method A","Funny","1","Feminism","Method A","1","4","4","3","Method A"
"2022/02/27 2:30:38 pm GMT","Yes","Yes","Apple ","The average age of the apples
The global apple market is the charles
om fruit of choice for many
This fruit is about in of twenty
The world's most est of animals","4","2","4","3","Fruitful ","All of this is very important
The iPad 4 performance is statistically significant
Apple has been making great strides
The iPhone 5 has more better besides
It is the latter that is relevant","4","3","3","2","Rhymes ","Method B","Method A","Method A","Method B","Method B","4","3","3","4","inaccurate ","4","5","3","4","Interesting ","Method A","Method A","Method A","Method A","Method A","3","2","4","2","Close","5","5","3","3","Random ","Method A","Method A","Method B","Method A","Method A","","3","3","2","Nationalist ","4","Method B","2","Method A","Method A","3","3","3","Method B","2","Educational ","1","Method A","Method A","Study skills are primarily a service
They can be a and and nervous
They can be a critical part
They can be found in the heart
They can be very good like davis","Method B","The research was supported by grants
The National Institute of Health Monitor events
It is funded in part by
The University of Michigan is good bye
The National Science Foundation wears the pants","Helpful ","4","Method A","Incoherent ","3","Studying ","Method B","3","4","3","2","Method B"
"2022/02/27 2:56:38 pm GMT","Yes","Yes","Pakistan","The country is also an integral
art of the first one of several
Pakistanis hold a high degree
The country is divided and to disagree
According to former staffers he is liberal","2","3","2","1","Funny","Pakistan is a sovereign state under
The following is information of the founder
The Pakistan Army has been under
The Pakistani Army is a in wonder
Pakistan is a very of military commander","3","3","3","4","Inaccurate","Method A","Method A","Method A","Method A","Method A","1","1","3","1","Accurate ","3","4","3","2","Weird","Method A","Method A","Method A","Method A","Method A","2","2","3","2","Historical","3","3","3","2","Unusual","Method A","Method A","Method A","Method A","Method A","","3","3","2","Unusual","2","Method A","2","Method A","Method A","3","4","2","Method B","4","Funny","3","Method A","Method A","India is ranked number
 among the first of a member
The world's third most
A state representative approved this post
Its population was 5 as in september","Method A","he fifth reason is that they are
This is what I is is or
Is. It's a terrorist
If you think I 're a journalist
f you think of should and r","Understandable","3","Method A","Inaccurate","1","India","Method A","2","2","5","3","Method A"
"2022/03/04 8:02:45 pm GMT","Yes","Yes","Laascaanood","Las Anod saw the expansion
It also helps to to depression
The area had already been heavily
during the summer of s especially
during S SS 's 's protection","4","5","5","1","incorrect","This page was made public
To obtain a to be catholic
Listed below are the original
If you 're a a criminal
You might even a banana republic","2","5","2","1","interesting","Method B","Method B","Method B","Method B","Method B","3","2","1","2","Factual","4","4","3","2","Funny","Method A","Method A","Method B","Method A","Method A","2","2","3","4","Accurate","3","4","4","1","Weird","Method A","Method A","Method A","Method A","Method A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/03/04 11:03:52 pm GMT","Yes","Yes","Football ","However even as other teams
soccer and football football it seems
The rise of teams of various
In 1992 he the the previous
became the focus of the themes","2","2","3","1","Relevant","Reply edited by x
x on the of of objects
de Reply edited by x x
Reply edited to discuss different subjects
Reply edited to be posted next","5","5","3","5","Random","Method A","Method A","Method B","Method A","Method A","4","2","4","5","Nonsense ","2","3","5","1","Alright","Method B","Method A","Method A","Method B","Method A","2","1","3","4","Good","3","5","5","1","Rhyme","Method A","Method A","Method A","Method B","Method A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/03/04 11:15:02 pm GMT","Yes","Yes","Russia","Russia has six countries comprising
Its territory is it is losing
It has the worlds second
However this this in maryland
The country is it is causing","3","2","4","4","Average","got to follow me to find
CNN is left left behind
This is totally
Its effects is it physically
it works well for the blind","4","4","3","1","Strange","Method A","Method A","Method B","Method B","Method B","2","2","2","3","Limerick ","2","3","1","1","Funny","Method B","Method A","Method B","Method B","Method B","2","1","2","3","Funny","4","5","2","2","Funnier ","Method A","Method A","Method B","Method B","Method A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/03/08 3:54:06 pm GMT","Yes","Yes","dwayne johnson","He has won many awards
He has no public criminal records
In 2014 he was the youngest
2016 Johnson 's 't be noticed
Johnson held on to the guards","3","2","3","2","factual(?)","We will work with you immediately
This site is being updated constantly
Please be respectful and be aware
Posted by I I swear
Posted by and at least partly","4","5","2","2","Error","Method A","Method A","Method B","Method A","Method A","3","3","1","2","english","2","2","3","1","historical","Method B","Method B","Method A","Method B","Method A","2","2","3","1","kaffirūn","3","5","1","1","what?","Method A","Method A","Method B","Method A","Method A","I think the limericks are too focussed on rhyming where it should focus on content idk tho bless up","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/03/08 4:02:43 pm GMT","Yes","Yes","Love and hate","RB is named after a band
The director 's what as planned
The film was shot on location
They also talked on vertical integration
I would be it the sand
","5","5","4","1","Incoherent ","They were telling me how badly
In any case you be friendly
I dont care what you think
No you don 't be pink
Just let the be be deadly","3","2","2","1","Funny ","Method B","Method B","Method B","Method B","Method B","1","1","1","1","Makes sense ","5","5","4","3","Wrong cricket ","Method A","Method A","Method B","Method A","Method A","3","2","1","2","Funny ","4","5","3","3","Incoherent ","Method A","Method A","Method A","Method A","Method A","I tried to put “love” in the generator but wouldn’t work ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/03/08 4:58:55 pm GMT","Yes","Yes","Bubble tea","Also known as tea bubble
Another green car that more sustainable
The bubbling beverage was produced
Bubble cup competition have be introduced
Most people think this is reasonable","5","4","5","1","Terrible","Bubbles tea contains several compounds
One is a with of friends
Another is a drug of healing
One of the was was willing
a friend who about the sounds","2","1","1","1","Beautiful","Method B","Method B","Method B","Method B","Method B","5","1","5","4","Boring","2","2","3","1","Alright","Method B","Method B","Method A","Method B","Method B","2","1","3","5","Noice","3","4","4","1","Irrelevant","Method A","Method A","Method A","Method A","Method A","Make ur hugging face better. Half of then didnt make sense x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/03/16 2:52:53 pm GMT","Yes","Yes","House","Players were often made to perform
These were not to and warm
In one of the first events
In a table of dollar amounts
The first wave of the storm","2","2","3","2","Interesting","From football club to the international
For me is the conventional
That is so it is hard
But there has a card
Englands is is and traditional","3","3","3","1","Random","Method A","Method A","Method A","Method B","Method A","2","2","2","1","Rollercoaster","2","4","3","1","Weird","Method A","Method A","Method A","Method B","Method A","1","2","2","3","Informative","3","5","3","1","Irrelevant","Method A","Method A","Method A","Method B","Method A","method A always seemed better but had some more obscure rhymes where B stuck to the rhyming better but was always random and bad english","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
